adres,aanvraag_publ,besluit_publ,besluit,dagen
oostelijke handelskade 1171 1019dn amsterdam,2026-05-13,2026-06-24,verleend,42
elandsgracht 66-3 1016tx amsterdam,2026-05-13,2026-05-13,verleend,0
ruyschstraat 17-1 1091br amsterdam,2026-05-13,2026-06-04,verleend,22
oudezijds voorburgwal 235-2b 1012ez amsterdam,2026-05-13,2026-05-13,verleend,0
keizersgracht 77b 1015ce amsterdam,2026-05-15,2026-05-15,verleend,0
prinsengracht 783b 1017jz amsterdam,2026-05-15,2026-05-15,verleend,0
frans halsstraat 57c 1072bm amsterdam,2026-05-15,2026-06-05,verleend,21
donarstraat 5-1 1076ca amsterdam,2026-05-15,2026-06-08,verleend,24
dintelstraat 72 1078vv amsterdam,2026-05-15,2026-06-08,verleend,24
van noordtstraat 9w 1013sm amsterdam,2026-05-15,2026-05-15,verleend,0
lomanstraat 112c 1075rh amsterdam,2026-05-15,2026-06-10,verleend,26
bilderdijkkade 58c 1053vn amsterdam,2026-05-15,2026-05-15,verleend,0
jacob van lennepstraat 54-1a 1053hl amsterdam,2026-05-15,2026-05-15,verleend,0
valkenburgerstraat 198n 1011nc amsterdam,2026-05-15,2026-05-15,verleend,0
gerard brandtstraat 24b 1054jk amsterdam,2026-05-15,2026-05-15,verleend,0
karel du jardinstraat 51n 1073tb amsterdam,2026-05-15,2026-06-05,verleend,21
oudezijds voorburgwal 107d 1012em amsterdam,2026-05-18,2026-05-18,verleend,0
beukenplein 17-1 1092ba amsterdam,2026-05-18,2026-06-04,verleend,17
prinsengracht 193b 1015ds amsterdam,2026-05-18,2026-05-18,verleend,0
valkenburgerstraat 42e 1011lz amsterdam,2026-05-18,2026-05-18,verleend,0
prinsengracht 653-2 1016hv amsterdam,2026-05-18,2026-05-18,verleend,0
uiterwaardenstraat 284-2 1079da amsterdam,2026-05-19,2026-06-10,verleend,22
veerstraat 36-2 1075sw amsterdam,2026-05-19,2026-06-10,verleend,22
jozef israëlskade 15a 1072rt amsterdam,2026-05-19,2026-06-10,verleend,22
emmalaan 8-3 1075av amsterdam,2026-05-19,2026-06-10,verleend,22
warmoesstraat 10-1 1012jd amsterdam,2026-05-20,2026-05-20,verleend,0
kamerlingh onneslaan 66 1097dh amsterdam,2026-05-20,2026-06-17,verleend,28
silodam 313 1013aw amsterdam,2026-05-21,2026-05-21,verleend,0
korte geuzenstraat 312 1056kv amsterdam,2026-05-21,2026-05-21,verleend,0
h. stolleplantsoen 34c 1022kk amsterdam,2026-05-21,2026-05-28,verleend,7
utrechtsedwarsstraat 68d 1017wh amsterdam,2026-05-21,2026-05-21,verleend,0
haarlemmerweg 396 1014bl amsterdam,2026-05-21,2026-05-21,verleend,0
haarlemmerweg 199a-2 1051ld amsterdam,2026-05-21,2026-05-21,verleend,0
prinsengracht 303a 1016gx amsterdam,2026-05-22,2026-05-22,verleend,0
geuzenstraat 51-2 1056kb amsterdam,2026-05-22,2026-05-22,verleend,0
nieuwe kerkstraat 118b 1018vm amsterdam,2026-05-22,2026-05-22,verleend,0
nieuwe achtergracht 8-2 1018xx amsterdam,2026-05-22,2026-05-22,verleend,0
vondelstraat 69e 1054gk amsterdam,2026-05-22,2026-05-22,verleend,0
oudezijds achterburgwal 10c 1012dm amsterdam,2026-05-22,2026-05-22,verleend,0
maarten harpertszoon trompstraat 34-1 1056jb amsterdam,2026-05-22,2026-05-22,verleend,0
singel 58c 1015ab amsterdam,2026-05-22,2026-05-22,verleend,0
eerste helmersstraat 237-4 1054dx amsterdam,2026-05-22,2026-05-22,verleend,0
kromme waal 25b 1011bt amsterdam,2026-05-26,2026-05-26,verleend,0
keizersgracht 48a 1015cr amsterdam,2026-05-26,2026-05-26,verleend,0
haparandadam 2b-10 1013ak amsterdam,2026-05-26,2026-05-26,verleend,0
keizersgracht 347b 1016eh amsterdam,2026-05-26,2026-05-26,verleend,0
korte prinsengracht 38-2 1013gt amsterdam,2026-05-26,2026-05-26,verleend,0
jacob van lennepstraat 65-3 1053he amsterdam,2026-05-26,2026-05-26,verleend,0
prinsengracht 656a 1017kw amsterdam,2026-05-26,2026-05-26,verleend,0
kerkstraat 76 1017gn amsterdam,2026-05-26,2026-05-26,verleend,0
houtkopersburgwal 21 1011ll amsterdam,2026-05-26,2026-05-26,verleend,0
westerkade 11l 1015xd amsterdam,2026-05-26,2026-05-26,verleend,0
nieuwe achtergracht 12-2 1018xx amsterdam,2026-05-26,2026-05-26,verleend,0
looiersgracht 67 1016wc amsterdam,2026-05-26,2026-05-26,verleend,0
dam 5g 1012js amsterdam,2026-05-28,2026-05-28,verleend,0
haparandaweg 866 1013bd amsterdam,2026-05-28,2026-05-28,verleend,0
herengracht 354 1016cg amsterdam,2026-05-28,2026-05-28,verleend,0
van bossestraat 36-1 1051ka amsterdam,2026-05-28,2026-05-28,verleend,0
sprinklerstraat 75 1019vr amsterdam,2026-05-28,2026-06-04,verleend,7
brouwersgracht 230d 1013he amsterdam,2026-05-28,2026-05-28,verleend,0
nieuwe kerkstraat 36-1 1018eb amsterdam,2026-05-28,2026-05-28,verleend,0
zeeburgerkade 190 1019hj amsterdam,2026-05-29,2026-06-04,verleend,6
singel 98b 1015ad amsterdam,2026-05-29,2026-05-29,verleend,0
meerluchtlaan 210 1096da amsterdam,2026-05-29,2026-06-10,verleend,12
plantage doklaan 41 1018cm amsterdam,2026-05-29,2026-05-29,verleend,0
derde leliedwarsstraat 38 1015te amsterdam,2026-05-29,2026-05-29,verleend,0
singel 324g 1016ae amsterdam,2026-06-02,2026-06-02,verleend,0
sassenheimstraat 15-1 1059ba amsterdam,2026-06-03,2026-06-11,verleend,8
prinsengracht 474b 1017kg amsterdam,2026-06-03,2026-06-09,verleend,6
rustenburgerstraat 140d 1073gj amsterdam,2026-06-03,2026-06-15,verleend,12
vossiusstraat 70 1071ak amsterdam,2026-06-03,2026-06-17,verleend,14
ridderspoorweg 196 1032ll amsterdam,2026-06-03,2026-06-03,verleend,0
george gershwinlaan 83c 1082mt amsterdam,2026-06-03,2026-06-11,verleend,8
elandsgracht 16 1016tw amsterdam,2026-06-03,2026-06-11,verleend,8
amazonenstraat 46-1 1076ll amsterdam,2026-06-03,2026-06-17,verleend,14
amstel 137a 1018en amsterdam,2026-06-03,2026-06-09,verleend,6
olympiaweg 72-2 1076xd amsterdam,2026-06-03,2026-06-15,verleend,12
willemsparkweg 71-1 1071gs amsterdam,2026-06-03,2026-06-26,verleend,23
apollolaan 191-h 1077aw amsterdam,2026-06-03,2026-06-11,verleend,8
silodam 422 1013aw amsterdam,2026-06-04,2026-06-04,verleend,0
curaçaostraat 83-1 1058br amsterdam,2026-06-04,2026-06-04,verleend,0
de klencke 99b 1083hh amsterdam,2026-06-05,2026-06-19,verleend,14
joh.m. coenenstraat 58 1071wh amsterdam,2026-06-05,2026-06-19,verleend,14
oostenburgervoorstraat 226 1018mr amsterdam,2026-06-05,2026-06-09,verleend,4
emmalaan 8-2 1075av amsterdam,2026-06-05,2026-06-22,verleend,17
weesperzijde 90-1 1091ek amsterdam,2026-06-08,2026-06-08,verleend,0
purperhoedenveem 38 1019hm amsterdam,2026-06-08,2026-06-08,verleend,0
fort heemstedestraat 7a 1384aw weesp,2026-06-10,2026-06-10,verleend,0
oosterpark 13c 1092ae amsterdam,2026-06-10,2026-06-10,verleend,0
bijlmerdreef 244 1102ab amsterdam,2026-06-10,2026-06-10,besluit_overig,0
deurloostraat 116-1 1078jk amsterdam,2026-06-10,2026-06-26,verleend,16
kinderdijkstraat 84-1 1079gp amsterdam,2026-06-11,2026-06-11,verleend,0
veembroederhof 149 1019hd amsterdam,2026-06-11,2026-06-11,verleend,0
brouwersgracht 187-1 1015gj amsterdam,2026-06-15,2026-06-15,verleend,0
wittgensteinlaan 215 1062ke amsterdam,2026-06-15,2026-06-15,verleend,0
prinsengracht 1079e 1017jh amsterdam,2026-06-17,2026-06-18,verleend,1
keizersgracht 20b 1015cp amsterdam,2026-06-17,2026-06-17,verleend,0
orteliusstraat 235b 1056nr amsterdam,2026-06-18,2026-06-18,verleend,0
spuistraat 316-3 1012vx amsterdam,2026-06-18,2026-06-18,verleend,0
